cat-id,objid,brick,ra,dec
52,4340,3431p015,343.231775073,1.5874151245
54,126,3433p025,343.350327741,2.3909041634
62,257,3408p020,340.928886077,1.9264229272
95,2071,3431p012,343.216093386,1.2188967639
106,1189,3411p007,341.004549597,0.6719762951
124,1391,3388p012,338.785803199,1.177594295
131,4436,3358p015,335.768090441,1.5647439087
157,4855,3398m005,339.792961223,-0.4386106787
168,5738,3376m005,337.565457398,-0.4004431747
191,5832,0366m020,36.7383140095,-1.921946387
196,2026,0378m027,37.9766839181,-2.7902294395
201,1973,0358m020,35.8279010473,-2.0570763591
203,21,0363m017,36.2789931682,-1.8742528157
251,3963,0296m030,29.5893976899,-2.9530005459
259,5330,0384m042,38.3794688222,-4.1489813028
261,3662,0384m047,36.8257501887,-4.7414656295
274,1521,0302m045,30.1135266034,-4.5623007858
275,2189,0292m045,29.1198483278,-4.5305875374
285,2938,0395m062,39.4811788531,-6.2566265838
302,6017,0373m065,37.321326591,-6.4160169785
305,5634,0370m065,36.9705421854,-6.4162915293
317,2692,0352m055,35.3153963658,-5.539168875
318,4476,0352m057,35.3537405707,-5.7328084936
378,2255,1372p050,137.273008722,4.9952428873
435,680,2248p012,224.997421523,1.1672992563
458,725,2183p007,218.435915782,0.6484017117
483,1461,1833p007,183.402498843,0.6910993928
497,4718,1821p007,182.029808465,0.8679875792
505,4333,1806p015,180.654419996,1.5074961941
507,2398,1811p015,181.170245908,1.4506348743
515,4221,1813p017,181.310747098,1.7693024274
522,4977,1811p012,181.19274526,1.2983865497
523,5647,1811p012,181.032732648,1.3215564543
530,3301,1398p007,139.996681378,0.8146229842
540,2942,1396p017,139.73086798,1.7515803449
575,475,1293p017,129.252396268,1.6646663736
603,4372,2151m005,215.020720132,-0.435826556
605,5755,2141m005,214.040081669,-0.38891907
614,73,2116p007,211.57208121,0.6294499789
621,5787,1801p005,180.167532186,0.5636410649
662,3176,1283m005,128.47116336,-0.3901677152
722,31,2111m012,211.174871089,-1.3742513767
724,3454,2111m012,211.059771452,-1.2261088422
729,660,2103m012,210.474706391,-1.342905176
731,4887,2096m010,209.714749027,-0.891155024
741,4286,1803m012,180.418708052,-1.2043336901
745,3729,1811m007,181.231544711,-0.6956560012
750,3522,1798m007,179.931477251,-0.7727118755
765,123,1761m007,176.140700248,-0.866780864
766,2798,1758m012,175.939825637,-1.2766670083
